"植生区分コード","群落コード","群落名","集約群落コード","自然度コード"
"01","10100","高山低木群落","10100","09"
"01","10100A","高山低木群落","10100","09"
"01","10101B","コケモモ－ハイマツ群集","10100","09"
"01","10101C","ハイマツ－コケモモ群集","10100","09"
"01","10102D","ミネヤナギ群落","10100","09"
"01","10102E","ミヤマハンノキ群落","10100","09"
"01","10200","高山ハイデ及び風衝草原","10200","10"
"01","10200A","高山ハイデ及び風衝草原","10200","10"
"01","10200D","エゾマメヤナギ－エゾオヤマノエンドウ群集","10200","10"
"01","10200G","イタドリ－コメススキ群落","10200","10"
"01","10201B","コメバツガザクラ－ミネズオウ群集","10200","10"
"01","10202E","オヤマノエンドウ－ヒゲハリスゲ群集","10200","10"
"01","10203C","コマクサ－イワツメクサクラス","10200","10"
"01","10203H","イワツメクサ群落","10200","10"
"01","10204I","フジハタザオ－オンタデ群集","10200","10"
"01","10205F","イワオウギ－タイツリオウギ群集","10200","10"
"01","10300","雪田草原","10300","10"
"01","10300A","ミヤマクロスゲ－チシマクモマグサ群集","10300","10"
"01","10300B","エゾツガザクラ－チングルマ群落","10300","10"
"01","10300D","トカチフウロ亜群集","10300","10"
"01","10300E","エゾコザクラ亜群集","10300","10"
"01","10300F","アオノツガザクラ亜群集","10300","10"
"01","10300G","ミヤマキンポウゲ群落","10300","10"
"01","10300H","バイケイソウ－ミヤマイ群落","10300","10"
"01","10300J","ミヤマイ群集","10300","10"
"01","10300M","雪田植生","10300","10"
"01","10301I","タカネヤハズハハコ－アオノツガザクラ群集","10300","10"
"01","10301L","アオノツガザクラ群団","10300","10"
"01","10302C","ミヤマイ－ハクサンボウフウ群集","10300","10"
"01","10304K","ショウジョウスゲ－イワイチョウ群集","10300","10"
"02","20100","エゾマツ－トドマツ群集","20100","09"
"02","20200","アカエゾマツ群集","20200","09"
"02","20300","イチイ－トドマツ群集","20300","09"
"02","20400","エゾマツ－ダケカンバ群落","20400","09"
"02","20500","シラビソ－トウヒ群団","20500","09"
"02","20501","オオシラビソ群集","20501","09"
"02","20501A","オオシラビソ群集","20501","09"
"02","20501B","アオモリトドマツ群落","20501","09"
"02","20501C","オオシラビソ－ブナ群落","20501","09"
"02","20502","シラビソ－オオシラビソ群集","20502","09"
"02","20502A","シラビソ－オオシラビソ群集","20502","09"
"02","20502B","シコクシラベ群集","20502","09"
"02","20503","コメツガ群落","20503","09"
"02","20503A","コメツガ群落","20503","09"
"02","20600","ササ－ダケカンバ群落","20600","09"
"02","20600A","ササ－ダケカンバ群落","20600","09"
"02","20600B","ダケカンバ－ササ群落","20600","09"
"02","20700","カラマツ群落","20700","09"
"02","20800","ミドリユキザサ－ダケカンバ群団","20800","09"
"02","20800A","ミドリユキザサ－ダケカンバ群団","20800","09"
"02","20800B","ダケカンバ－ハイマツ群落","20800","09"
"02","20800C","ダケカンバ－イワノガリヤス群落","20800","09"
"02","20800D","ミヤマハンノキ－ダケカンバ群落","20800","09"
"02","20800E","ミヤマハンノキ群落","20800","09"
"02","20800F","ミヤマハンノキ－ダケカンバ群集","20800","09"
"02","20900","キャラボク群落","20900","09"
"02","21001","シナノキンバイ－ミヤマキンポウゲ群団","21001","09"
"02","21001A","シナノキンバイ－ミヤマキンポウゲ群団","21001","09"
"02","21001B","シナノキンバイ－ミヤマキンポウゲ群落","21001","09"
"02","21100","ササ自然草原","21100","10"
"02","21100A","ササ自然草原","21100","10"
"02","21100B","チシマザサ－オクノカンスゲ群集","21100","10"
"02","21100D","ササ群落","21100","10"
