"集約群落コード","集約群落名"
"A0000","不明区分"
"A0100","市街地"
"A0200","緑の多い住宅地"
"A0300","工場地帯"
"A0400","造成地"
"A0500","干拓地"
"A0600","開放水域"
"A0700","自然裸地"
"A0900","廃塩田"
"A1000","広いコンクリート地"
"10100","高山低木群落"
"10200","高山ハイデ及び風衝草原"
"10300","雪田草原"
"20100","エゾマツ－トドマツ群集"
"20200","アカエゾマツ群集"
"20300","イチイ－トドマツ群集"
"20400","エゾマツ－ダケカンバ群落"
"20500","シラビソ－トウヒ群団"
"20501","オオシラビソ群集"
"20502","シラビソ－オオシラビソ群集"
"20503","コメツガ群落"
"20600","ササ－ダケカンバ群落"
"20700","カラマツ群落"
"20800","ミドリユキザサ－ダケカンバ群団"
"20900","キャラボク群落"
"21001","シナノキンバイ－ミヤマキンポウゲ群団"
"21100","ササ自然草原"
"21300","ウラジロヨウラク－ミヤマナラ群団"
"21400","オオシラビソ－ダケカンバ林"
"30100","ササ群落"
"30200","ヒゲノガリヤス群落"
"30300","伐跡群落"
"30301","伐採跡地に成立した二次林"
"30400","ダケカンバ群落"
"40100","チシマザサ－ブナ群団"
"40101","ヒメアオキ－ブナ群集"
"40102","クロモジ－ブナ群集"
"40103","マルバマンサク－ブナ群集"
"40104","スギ－ブナ群落"
"40200","スズタケ－ブナ群団"
"40201","ヤマボウシ－ブナ群集"
"40202","ツクシシャクナゲ－ブナ群集"
"40203","イヌブナ群集"
"40204","オオモミジガサ－ブナ群集"
"40208","ツガ－コカンスゲ群集"
"40214","シラキ－ブナ群集"
"40300","エゾイタヤ－シナノキ群落"
"40400","ウラジロモミ群落"
"40500","ヒノキアスナロ群落"
"40600","ヒノキ群落"
"40700","クロベ－ヒメコマツ群落"
"40800","アカマツ群落"
"40900","ジュウモンジシダ－サワグルミ群集"
"41000","ミヤマクマワラビ－シオジ群集"
"41100","ハルニレ群集"
"41200","ヤナギ高木群落"
"41201","ドロノキ－オオバヤナギ群落"
"41202","ケショウヤナギ群落"
"41203","シロヤナギ群集"
"41300","ヤナギ低木群落"
"41400","ハンノキ－ヤチダモ群集"
"41500","ハンノキ群落"
"41600","ヤマハンノキ群落"
"41700","自然低木群落"
"41702","カシワ群落"
"41703","ヒメヤシャブシ－タニウツギ群落"
"41704","ミヤマキリシマ－マイズルソウ群集"
"41705","コメツツジ群落"
"41709","ヤシャブシ群落"
"41800","自然草原"
"41801","フジアカショウマ－シモツケソウ群集"
"41802","フジアザミ－ヤマホタルブクロ群集"
"41803","シマノガリヤス－シマキンレイカ群集"
"41806","オオヨモギ－オオイタドリ群団"
"41900","イヌシデ－アカシデ自然林"
"42000","イワシデ群落"
"42400","イタドリ－コメススキ群落"
"42500","ケヤキ群落"
"42600","下部針広混交林"
"42700","スギ－ツガ群落"
"42800","オオイタヤメイゲツ－ミヤマカタバミ群集"
"42900","ヒノキアスナロ群落及びクロベ－キタゴヨウ群落"
"43000","ミズナラ－リョウブ群集"
"43100","ヤマグルマ群落"
"43300","ウラジロモミ－コメツガ群落"
"43400","フサザクラ－タマアジサイ群集"
"43500","岩ぺき植生"
"43600","シロモジ－ノリウツギ群落"
"43700","石灰岩植生"
"50100","ブナ－ミズナラ群落"
"50200","カシワ－ミズナラ群落"
"50300","クリ－ミズナラ群落"
"50400","アカシデ－イヌシデ群落"
"50500","シラカンバ群落"
"50600","アカマツ群落"
"50700","ニシキウツギ－ノリウツギ群落"
"50800","ツクシウツギ－ノリウツギ群落"
"50900","ササ草原"
"51000","ススキ群団"
"51008","ノハナショウブ－ススキ群集"
"51100","シバ群団"
"51200","ナガハグサ群落"
"51400","伐跡群落"
"51401","伐採跡地に成立した二次林"
"51500","オオアワダチソウ－オオハンゴンソウ群落"
"51600","コウヤマキ群落"
"51700","ハシドイ群落"
"51800","ススキ群団及びシバ群団"
"51900","クズ群落"
"52000","スギ－落葉広葉樹林群落"
"52100","種々草原"
"52200","カナクギノキ－ツクシヤブウツギ群落"
"52300","ヤマヤナギ－ツクシヤブウツギ群団"
"60100","モミ－シキミ群集"
"60202","ツガ－ハイノキ群集"
"60300","ヒメアオキ－ウラジロガシ群集"
"60400","サカキ－ウラジロガシ群集"
"60401","イスノキ－ウラジロガシ群集"
"60500","ケヤキ群落"
"60600","アラカシ群落"
"60601","アラカシ－ナンテン群集"
"60602","アマミアラカシ群落"
"60700","マテバシイ群落"
"60800","イチイガシ群落"
"60900","シラカシ群集"
"61000","サカキ－コジイ群集"
"61100","シイモチ－シリブカガシ群集"
"61200","ホルトノキ群落"
"61300","スダジイ群落"
"61301","ヤブコウジ－スダジイ群集"
"61302","ミミズバイ－スダジイ群集"
"61303","スダジイ－オオシマカンスゲ群集"
"61304","ホソバカナワラビ－スダジイ群集"
"61305","リュウキュウアオキ－スダジイ群集"
"61306","アマミテンナンショウ－スダジイ群集"
"61307","ケハダルリミノキ－スダジイ群集"
"61308","オキナワシキミ－スダジイ群集"
"61309","アオバナハイノキ－スダジイ群集"
"61310","ヤクシマアジサイ－スダジイ群集"
"61311","オキナワウラジロガシ群集"
"61312","ヤマグルマ－ユズリハ群集"
"61314","ケナガエサカキ－スダジイ群集"
"61315","ヤワラケガキ－スダジイ群集"
"61316","スダジイ－トキワイカリソウ群集"
"61400","タブ群落"
"61401","イノデ－タブ群集"
"61402","ムサシアブミ－タブ群落"
"61500","カゴノキ群落"
"61600","ホソバタブ群落"
"61700","ウバメガシ群落"
"61701","ウバメガシ－トベラ群集"
"61702","マサキ－トベラ群集"
"61703","オニヤブソテツ－ハマビワ群集"
"61706","アカテツ－ハマビワ群集"
"61800","アカマツ群落"
"61900","クロマツ群落"
"62000","フサザクラ群団"
"62100","ハンノキ群落"
"62200","河辺ヤナギ低木群落"
"62300","ソテツ群落"
"62400","ビロウ群落"
"62500","ナガミボチョウジ－クスノハカエデ群落"
"62600","マングローブ群落"
"62800","ガジュマル－クロヨナ群集"
"62900","アカギ群落"
"63100","サガリバナ－サキシマスオウノキ群落"
"63200","リュウキュウマツ群落"
"63300","コウヤマキ群落"
"63400","ヤブツバキ群落"
"63500","イヌツゲ－ハイノキ群落"
"63600","ツクバネガシ群落"
"63700","クスノキ群落"
"63800","ムニンヒメツバキ－コブガシ群集"
"63900","ムニンヒメツバキ－シマオオタニワタリ群集"
"64000","シマホルトノキ－ウドノキ群集"
"64100","オガサワラボチョウジ－セキモンウライソウ群集"
"64200","モクタチバナ－セキモンノキ群集"
"64300","ハスノハギリ－モモタマナ群集"
"64400","モモタマナ－テリハボク群落"
"64500","オガサワラビロウ－タコノキ群集"
"64600","タコノキ群落"
"64700","ワダンノキ群集"
"64800","コバノアカテツ－ムニンアオガンピ群集"
"65000","コバノアカテツ－シマイスノキ群集"
"65300","ハスノハギリ群集"
"65400","イワシデ群落"
"65500","クヌギ群落"
"65600","イヌマキ－ヒトツバ群落"
"65700","シラカシ・ケヤキ屋敷林"
"65800","ナギ群落"
"65900","ガクアジサイ－ヒサカキ群落"
"66000","チギ－オオバシロテツ群集"
"66100","ハナガガシ群落"
"66200","モクタチバナ－テリハコブガシ群集"
"66300","岩壁植生"
"70100","コナラ群落"
"70101","クヌギ－コナラ群集"
"70103","コナラ－オニシバリ群集"
"70104","コナラ－クリ群落"
"70106","コナラ－ノグルミ群落"
"70200","シイ・カシ萌芽林"
"70201","ハクサンボク－マテバシイ群落"
"70202","オオシマザクラ－オオバエゴノキ群集"
"70203","タブ－ヤブニッケイ幼木林"
"70300","伐跡群落"
"70400","ササ・タケ群落"
"70500","ギンネム群落"
"70600","ススキ群団"
"70700","シバ群団"
"70900","ハイキビ群落"
"71000","アカマツ群落"
"71001","ヤマツツジ－アカマツ群集"
"71002","オンツツジ－アカマツ群集"
"71003","モチツツジ－アカマツ群集"
"71004","コバノミツバツツジ－アカマツ群集"
"71100","クロマツ群落"
"72000","林縁性つる－低木群落"
"72100","ヤブムラサキ－コナラ群集"
"72200","ウバメガシ萌芽林"
"72300","ヤブニッケイ－ヤマヤブソテツ群集"
"72400","アカガシ萌芽林"
"72500","コシダ－ウラジロ群落"
"72600","アカシデ－イヌシデ群落"
"72700","オオバヤシャブシ群落"
"72800","ニセアカシア群落"
"72900","モミ群落"
"73000","ツルダコ群落"
"73100","マルハチ群集"
"73200","シロガネムクノキ群集"
"73300","オガサワラモクマオ群集"
"73400","アカギ群落"
"73500","アカマツ－サイゴクミツバツツジ群集"
"73600","イヌシデ群落"
"73700","アオノリュウゼツラン群落"
"73800","アオモジ群落"
"73900","アカメガシワ－カラスザンショウ群落"
"74000","オニチカラシバ群落"
"74100","クサギ－アカメガシワ群団"
"74200","ケヤキ－シラカシ群落"
"74300","コトブキギク－モンパノキ群落"
"74400","サイザルアサ群落"
"74500","シチヘンゲ群落"
"74600","シマチカラシバ－スズメノコビエ群落"
"74700","スズメノコビエ－シマスズメノヒエ群落"
"74800","トベラ－マサキ萌芽林"
"74900","ハタガヤ－キバナヒメフウチョウソウ群落"
"75000","ハチジョウアザミ群落"
"75100","ハリケンススキ群落"
"75200","ヒサカキ二次低木林"
"75300","フサザクラ群落"
"75400","ホクチガヤ群落"
"75500","河辺落葉高木群落"
"75600","崩壊地・のり面草本植生"
"75700","落葉低木群落"
"80100","ツルコケモモ－ミズゴケクラス"
"80200","ヌマガヤオーダー"
"80300","ヨシクラス"
"80301","ミゾソバ－ヨシ群落"
"80400","ウキクサクラス・ヒルムシロクラス"
"80500","ツルヨシ群集"
"80600","オギ群集"
"80700","塩沼地植生"
"80701","アマモクラス"
"80703","ハママツナ－ハマサジ群落"
"80800","ハマボウ群落"
"80900","砂丘植生"
"80901","ハマニンニク－コウボウムギ群落"
"80904","ハマナス群落"
"80905","オカヒジキ－ハマベンケイソウ群落"
"80906","グンバイヒルガオ－クロイワザサ群落"
"81000","ハチジョウススキ群落"
"81001","イソギク－ハチジョウススキ群集"
"81200","石灰岩地植物群落"
"81300","コウライシバ群落"
"81400","隆起珊瑚礁植生"
"81401","イソマツ－モクビャッコウ群集"
"81402","クサトベラ－モンパノキ群集"
"81602","オオバヤシャブシ－ニオイウツギ群集"
"81700","火山荒原植生・硫気孔原植生"
"81900","湿原"
"82000","ニセアカシア河敷林"
"82100","ハマグルマ－コウボウムギ群落"
"82200","ハマグルマ－ハマゴウ群落"
"82300","ノジギク群落"
"82500","オガサワラススキ群集"
"82600","ホナガソウ群落"
"82700","ハイビャクシン群落"
"82800","アダン－オオハマボウ群落"
"82900","塩生植生"
"83000","カワラヨモギ群落"
"83100","アカメガシワ－カニクサ群落"
"83200","イガガヤツリ群落"
"83300","オオバヤシャブシ－ハチジョウススキ群落"
"83400","クグテンツキ－フタバムグラ群落"
"83500","スベリヒユ－オヒシバ群落"
"83600","トゲミウドノキ群落"
"83700","ホシクサ－コイヌノハナヒゲ群団"
"83800","タマシダ群落"
"90100","常緑針葉樹植林"
"90101","アカマツ植林"
"90102","クロマツ植林"
"90103","スギ・ヒノキ・サワラ植林"
"90104","エゾマツ植林"
"90105","トドマツ植林"
"90106","アカエゾマツ植林"
"90200","落葉針葉樹植林"
"90300","外国産針葉樹植林"
"90400","常緑広葉樹植林"
"90402","マテバシイ植林"
"90500","落葉広葉樹植林"
"90600","外国産広葉樹植林"
"90700","竹林"
"90800","常緑果樹園"
"90900","落葉果樹園"
"91000","桑園"
"91100","茶畑"
"91200","苗圃"
"91300","畑地雑草群落"
